Sympomts,label
"Lately I’ve been experiencing frequent headaches that start from the back of my head and spread forward. Sometimes I also feel dizzy, and my vision gets blurry for a few seconds. It’s making it hard for me to focus on my work properly.",Neurologist
"For the past two weeks, I’ve noticed numbness and tingling in my right hand and arm. At times it feels like pins and needles, and occasionally I lose grip strength. This is starting to worry me because it’s happening more often.",Neurologist
"My periods have become very irregular. Sometimes they come after 20 days, sometimes after 40. When they do come, the bleeding is very heavy, and I also pass large clots. It makes me feel weak and tired throughout the day.",Gynecologist
"I’ve been experiencing shortness of breath even after doing light activities like walking a few steps or climbing stairs. Sometimes I feel like I can’t get enough air into my lungs, and it makes me very anxious. This has been happening for several weeks now.",Pulmonologist
,
,
"During my periods, I experience severe cramps in my lower abdomen and back. The pain becomes so intense that I can’t concentrate on work and often need to take painkillers. It has been getting worse over the past few months",Gynecologist
"I often forget simple things like where I put my keys or even the names of familiar people. It has become more frequent recently, and I sometimes get confused in conversations. I’m scared it might be something more serious than stress.",Neurologist
,
,
"For the past two months, I’ve been having a persistent cough that doesn’t go away. It’s worse at night and early in the morning. Sometimes I cough so much that my chest hurts, but there’s no relief even after taking syrup.”",Pulmonologist
"For the last three months, I’ve been having very light spotting between my periods. It usually happens a week after my normal cycle ends. I’m worried because this never used to happen before, and I don’t know what’s causing it",Gynecologist
"Recently, I’ve been having sudden sharp pains on the left side of my face. The pain is intense but lasts only for a few seconds, then disappears. It happens several times a day, especially when I eat or talk",Neurologist
,
,
,
,
"Sometimes I feel an uncontrollable shaking in my hands, especially when I try to write or hold a cup. It makes everyday tasks really difficult, and I feel embarrassed in front of others. I don’t know why this is happening.",Neurologist
,
"Whenever I walk fast or do light exercise, I get extremely breathless and have to stop. It feels like my lungs aren’t expanding fully. This never used to happen before, but now even simple tasks feel exhausting.”",Pulmonologist
,
"For the last three months, I’ve been having very light spotting between my periods. It usually happens a week after my normal cycle ends. I’m worried because this never used to happen before, and I don’t know what’s causing it.",Gynecologist
"There are times when I suddenly lose my balance while walking, almost as if the ground is moving under me. I haven’t fallen yet, but I feel very unstable, and I often have to hold onto walls or furniture for support",Neurologist
,
“I often wake up in the middle of the night gasping for air. It feels like I’m choking and can’t breathe properly. Sometimes I also notice that I snore heavily before these episodes happen.”,Pulmonologist
"At night I sometimes wake up with severe headaches and nausea. Along with that, I’ve noticed a constant ringing sound in my ears during the day. These symptoms are affecting my sleep, mood, and concentration at work.",Neurologist
,
"My menstrual cycle used to be very regular, but recently I’ve skipped two periods in a row. I’m not pregnant, so I don’t understand why this is happening. Along with that, I feel bloated and unusually tired most of the time.",Gynecologist
,
"I’ve been feeling weakness on my left side, especially in my leg. Sometimes it drags when I walk, and I feel like I can’t lift it properly. This started a few days ago, and it’s gradually getting worse instead of better.",Neurologist
,
"Every time my periods start, I also feel nauseous and sometimes vomit. The bleeding is normal, but the pain and sickness make it very difficult to manage daily tasks. I often have to miss work or stay in bed all day.",Gynecologist
,
"Occasionally I see flashing lights or zigzag lines in my vision, even when the room is dark. After that, I usually get a pounding headache on one side of my head. The pain is so strong that I can’t do anything for hours",Neurologist
,
,
"I often feel a dull, constant pain in my lower abdomen, especially on the left side. It’s not related to my period and sometimes gets worse after physical activity. The pain has been coming and going for several weeks now",Gynecologist
I’ve been coughing up thick yellow mucus for the past week. The cough is continuous and gets worse in the morning. Sometimes I also feel mild chest pain when coughing. It’s been troubling me a lot.”,Pulmonologist
"Lately, I’ve noticed difficulty in speaking clearly. Words sometimes come out slurred, and I feel like my tongue isn’t moving properly. It’s not constant, but when it happens, people around me can clearly notice the change",Neurologist
,
"For the past few weeks, I’ve noticed pain during sexual intercourse. It feels sharp and uncomfortable deep inside, and sometimes I feel soreness afterward. This problem is affecting my relationship, and I’m worried something is wrong.",Gynecologist
"Every winter, I get a cough that lasts for weeks. This time, it’s accompanied by wheezing and tightness in my chest. I feel like my airways are blocked, and inhaling feels very difficult.”",Pulmonologist
"I’ve been having frequent episodes where I suddenly feel disoriented, like I don’t recognize my surroundings for a few moments. but I don’t completely lose consciousness. These moments are very frightening and leave me feeling exhausted afterward.",Neurologist
,
,
"For the past month, I’ve had constant stiffness in my neck along with occasional shooting pain that travels down my shoulder and arm. It worsens when I turn my head or sit for long periods. Sometimes my fingers also feel slightly numb.",Neurologist
"Lately, I’ve had a heavy, dragging sensation in my lower abdomen, especially when standing for long hours. It sometimes feels like pressure pushing downward. I don’t usually feel this while lying down, but during the day it’s very uncomfortable",Gynecologist
"Lately, I’ve had a dry cough that doesn’t produce any mucus. It has lasted more than a month and happens throughout the day. The coughing fits sometimes leave me breathless and tired.”",Pulmonologist
"Recently, I’ve noticed that my legs feel unusually heavy and tired, even after walking short distances. There’s also a burning sensation in my feet at night that makes it difficult to sleep. I don’t know if it’s circulation or something neurological.",Neurologist
,
"I often get a burning sensation when I urinate, along with lower abdominal discomfort. Sometimes there’s also urgency to urinate, even when the bladder isn’t full. This has been happening repeatedly over the last month, and I’m starting to get worried",Gynecologist
"Sometimes when I’m talking, I suddenly lose the right word and get stuck mid-sentence. It feels like the word is on the tip of my tongue but won’t come out. These episodes are happening more frequently, and it’s becoming very frustrating.",Neurologist
,
